Source DB,Target,Topic,Severity Level,Action Code,Action Message,Action Item,PostgreSQL Documentation Hyperlink / Amazon Services Hyperlink,Aurora PostgreSQL Documentation Hyperlink / Amazon Services Hiperlink,Estimated time to manual resolve h
SQL Server,Postgres,CONTROL FLOW,0,7628,PostgreSQL doesn't support the GOTO option. Automatic conversion can't be performed,Revise your code to eliminate GOTO operators using BEGIN...END blocks in combination with EXIT REPEAT UNTIL and WHILE operators.,,,2
SQL Server,Postgres,CURSORS,0,7637,PostgreSQL doesn't support GLOBAL CURSORS. Requires manual Conversion,Change the global cursor to a local cursor or revise your code so it doesn't require global cursors.,,,40
SQL Server,Postgres,CURSORS,0,7639,PostgreSQL doesn't support DYNAMIC cursors,Revise your code to eliminate dynamic cursors.,,,40
SQL Server,Postgres,EXECUTE,3,7640,The EXECUTE with RECOMPILE option is ignored,Use EXECUTE command without this option.,,,0.1
SQL Server,Postgres,EXECUTE,3,7641,The EXECUTE with RESULT SETS UNDEFINED option is ignored,Use EXECUTE command without this option.,,,0.1
SQL Server,Postgres,EXECUTE,3,7642,The EXECUTE with RESULT SETS NONE option is ignored,Use EXECUTE command without this option.,,,0.1
SQL Server,Postgres,EXECUTE,3,7643,The EXECUTE with RESULT SETS DEFINITION option is ignored,Use EXECUTE command without this option.,,,0.1
SQL Server,Postgres,EXECUTE,0,7645,PostgreSQL doesn't support executing a pass-through command on a linked server,Use other methods to execute statements on a remote server.,,,160
SQL Server,Postgres,SELECT,1,7646,Automatic conversion of collation is not supported,You must use the COLLATION settings that were assigned when the database was created.,,,8
SQL Server,Postgres,SELECT,0,7653,PostgreSQL doesn't support the option GROUP BY ROLLUP. Automatic conversion can't be performed,Try creating a stored procedure to replace the query.,,,8
SQL Server,Postgres,SELECT,0,7654,PostgreSQL doesn't support the option GROUP BY CUBE. Automatic conversion can't be performed,Try creating a stored procedure to replace the query.,,,8
SQL Server,Postgres,SELECT,0,7655,PostgreSQL doesn't support the option GROUP BY GROUPING SETS. Automatic conversion can't be performed,Try creating a stored procedure to replace the query.,,,8
SQL Server,Postgres,DATATYPES,0,7657,PostgreSQL doesn't support this type. A manual conversion is required,To store data of this type in PostgreSQL use a PostgreSQL-compatible type or use a composite type.,,,40
SQL Server,Postgres,DATATYPES,0,7658,PostgreSQL doesn't support this type. A manual conversion is required,To store data of this type in PostgreSQL use a PostgreSQL-compatible type or use a composite type.,,,16
SQL Server,Postgres,DATATYPES,3,7659,The scope table-variables and temporary tables is different. You must apply manual conversion if you are using recursion,Perform a manual conversion.,,,2
SQL Server,Postgres,DATATYPES,0,7662,PostgreSQL doesn't support this type. A manual conversion is required,To store data of this type in PostgreSQL use a PostgreSQL-compatible type or use a composite type.,,,160
SQL Server,Postgres,Parser Error,1,7663,Unable to resolve the object,Verify if object %s is present in the database. If it isn't check the object name or add the object. If the object is present transform the code manually.,,,4
SQL Server,Postgres,DATATYPES,0,7664,PostgreSQL doesn't support this type. A manual conversion is required,To store data of this type in PostgreSQL use a PostgreSQL-compatible type or use a composite type.,,,160
SQL Server,Postgres,CREATE TABLE,1,7665,PostgreSQL doesn't support FILESTREAM option for storing column values,The table was converted without FILESTREAM option.,,,0.5
SQL Server,Postgres,EXECUTE,0,7672,Automatic conversion of this command is not supported,Perform a manual conversion.,,,2
SQL Server,Postgres,Unknown,0,7674,Automatic conversion of %s clause of %s statement is not supported,Perform a manual conversion.,,,16
SQL Server,Postgres,DDL,1,7675,PostgreSQL doesn't support sorting options (ASC | DESC) for constraints,Use indexes without this option.,,,0.1
SQL Server,Postgres,DDL,1,7679,A computed column is replaced by the triggers,Please revise generated code and modify it if is necessary.,,,0.1
SQL Server,Postgres,DDL,0,7680,PostgreSQL doesn't support global temporary tables,Use local temporary or regular tables.,,,8
SQL Server,Postgres,DDL,3,7681,PostgreSQL doesn't support clustered indexes,Use non-clustered indexes.,,,0.1
SQL Server,Postgres,DDL,3,7682,PostgreSQL doesn't support the INCLUDE option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,SELECT,0,7687,PostgreSQL doesn't support the CONTAINS predicate,Perform a manual conversion.,,,80
SQL Server,Postgres,SELECT,0,7688,PostgreSQL doesn't support the FREETEXT predicate,Perform a manual conversion.,,,80
SQL Server,Postgres,DATATYPES,0,7690,PostgreSQL doesn't support table types,Perform a manual conversion.,,,40
SQL Server,Postgres,CONTROL FLOW,0,7691,PostgreSQL doesn't support WAITFOR TIME feature,Perform a manual conversion.,,,8
SQL Server,Postgres,EXECUTE,0,7695,PostgreSQL doesn't support the execution of a procedure as a variable,Perform a manual conversion using dynamic SQL.,,,0.5
SQL Server,Postgres,CREATE,0,7696,Unable convert object due to %s not created,Please review the %s object.,,,1
SQL Server,Postgres,CURSORS,3,7700,The membership and order of rows never changes for cursors in PostgreSQL so this option is skipped,Use cursors without this option.,,,0.1
SQL Server,Postgres,CURSORS,3,7701,Setting this option corresponds to the typical behavior of cursors in PostgreSQL so this option is skipped,Use cursors without this option.,,,0.1
SQL Server,Postgres,CURSORS,3,7702,All PostgreSQL cursors are read-only so this option is skipped,Use cursors without this option.,,,0.1
SQL Server,Postgres,CURSORS,1,7704,PostgreSQL doesn't support the option OPTIMISTIC so this option is skipped,Use cursors without this option.,,,0.1
SQL Server,Postgres,CURSORS,2,7705,PostgreSQL doesn't support the option TYPE_WARNING so this option is skipped,Use cursors without this option.,,,0.1
SQL Server,Postgres,DATATYPES,1,7706,Unable convert the variable declaration of unsupported %s datatype,To store data of this type in PostgreSQL use a PostgreSQL-compatible type or use a composite type.,,,40
SQL Server,Postgres,DATATYPES,3,7707,Unable convert variable reference of unsupported %s datatype,The stub-code created. Please perform a manual conversion.,,,8
SQL Server,Postgres,DATATYPES,0,7708,Unable convert complex usage of unsupported %s datatype,Perform a manual conversion.,,,40
SQL Server,Postgres,Arithmetic operators,0,7773,Unable to perform an automated migration of arithmetic operations with dates,Make cast operands to the expected type.,,,1
SQL Server,Postgres,Arithmetic operators,0,7774,Unable to perform an automated migration of the arithmetic operations with mixed types of operands,Make cast operands to the expected type.,,,1
SQL Server,Postgres,Arithmetic operators,1,7775,Check the data type conversion. Possible loss of accuracy,Make cast operands to the expected type.,,,1
SQL Server,Postgres,DDL,0,7776,Automatic migration of inline functions not supported,Perform a manual conversion.,,,8
SQL Server,Postgres,DDL,3,7781,PostgreSQL doesn't support the PAD_INDEX option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7782,PostgreSQL doesn't support the SORT_IN_TEMPDB option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7783,PostgreSQL doesn't support the IGNORE_DUP_KEY option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7784,PostgreSQL doesn't support the STATISTICS_NORECOMPUTE option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7785,PostgreSQL doesn't support the STATISTICS_INCREMENTAL option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7786,PostgreSQL doesn't support the DROP_EXISTING option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7787,PostgreSQL doesn't support the ONLINE option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7788,PostgreSQL doesn't support the ALLOW_ROW_LOCKS option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7789,PostgreSQL doesn't support the ALLOW_PAGE_LOCKS option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7790,PostgreSQL doesn't support the MAXDOP option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,DDL,3,7791,PostgreSQL doesn't support the DATA_COMPRESSION option in indexes,Use index without this option.,,,0.1
SQL Server,Postgres,SYNONYMS,0,7792,PostgreSQL doesn't support  synonyms,Replace a synonym with original database object. If original object is table or view you can try to create a view in one database that relies on a table or view in another database.,,,40
SQL Server,Postgres,SEQUENCE,1,7793,PostgreSQL doesn't support changing data type in sequences,Review your transformed code and modify it if necessary.,,,0.1
SQL Server,Postgres,User types,0,7794,PostgreSQL doesn't support user-defined data types,Perform a manual conversion.,,,0.1
SQL Server,Postgres,SELECT,3,7795,PostgreSQL in operations with strings is case-sensitive. Check the result of the conversion,Check the string comparison.,,,0.1
SQL Server,Postgres,Update,0,7796,PostgreSQL doesn't support TOP option in the operator UPDATE,Perform a manual conversion.,,,4
SQL Server,Postgres,,0,7797,"PostgreSQL doesn't have analog for option ""OUTPUT"" with using the implicit table ""deleted"" in the operator for UPDATE",This case requires manual conversion.,,,4
SQL Server,Postgres,Delete,0,7798,PostgreSQL doesn't support TOP option in the operator DELETE,Perform a manual conversion.,,,4
SQL Server,Postgres,INSERT,0,7799,PostgreSQL doesn't support TOP option in the operator INSERT,Perform a manual conversion.,,,4
SQL Server,Postgres,CONTROL FLOW,1,7800,PostgreSQL doesn't support result sets in the style of MSSQL,Review your transformed code and modify it if necessary.,,,1
SQL Server,Postgres,CONTROL FLOW,1,7801,The table can be locked open cursor,Review your transformed code and modify it if necessary.,,,1
SQL Server,Postgres,CONTROL FLOW,1,7802,A table that is created within the procedure must be deleted before the end of the procedure,Review your transformed code and modify it if necessary.,,,4
SQL Server,Postgres,CURSORS,1,7803,PostgreSQL doesn't support the option FOR UPDATE so this option is skipped,Review your transformed code and modify it if necessary.,,,4
SQL Server,Postgres,Operators,0,7804,PostgreSQL doesn't support operator [Bitwise exclusive OR],Perform a manual conversion.,,,8
SQL Server,Postgres,Operators,0,7805,PostgreSQL doesn't support operator [Not less than],Perform a manual conversion.,,,8
SQL Server,Postgres,Operators,0,7806,PostgreSQL doesn't support operator [Not greater than],Perform a manual conversion.,,,8
SQL Server,Postgres,TRANSACTION,0,7807,PostgreSQL does not support explicit transaction management in functions,Perform a manual conversion.,,,4
SQL Server,Postgres,Unknown,0,7808,Unparsed SQL,Perform a manual conversion.,,,40
SQL Server,Postgres,TRIGGERS,0,7809,PostgreSQL does not support INSTEAD OF triggers on tables,Perform a manual conversion.,,,20
SQL Server,Postgres,SPECIFIC SET statement ,0,7810,PostgreSQL doesn't support the SET NOCOUNT,If need try another way to send message back to the client application.,,,0.01
SQL Server,Postgres, BUILT-IN SQL FUNCTIONS,0,7811,PostgreSQL doesn't support the %s function,Create a user-defined function.,,,8
SQL Server,Postgres,DDL,3,7812,Temporary table must be removed before the end of the function,Review your transformed code and modify it if necessary.,,,4
SQL Server,Postgres,CREATE,0,7813,Encrypted Objects,Decrypt the object before conversion.,,,2
SQL Server,Postgres,SEQUENCE,1,7814,Unable to convert ORDER for sequence values,Try to use subquery in order to obtain values in expected order.,,,0.5
SQL Server,Postgres,DATATYPES,0,7816,PostgreSQL doesn't support any methods for datatype XML,Perform a manual conversion.,,,40
SQL Server,Postgres,DATATYPES,0,7817,PostgreSQL doesn't support option [for xml path] in the SQL-queries,Perform a manual conversion.,,,40
SQL Server,Postgres,DATATYPES,0,7818,PostgreSQL doesn't support arithmetic operations with binary data types,Perform a manual conversion.,,,8
SQL Server,Postgres,INSERT,0,7819,PostgreSQL doesn't support INSERT...EXECUTE statements,Perform a manual conversion.,,,8
SQL Server,Postgres,CONTROL FLOW,0,7821,Automatic conversion operator WAITFOR with a variable is not supported,Perform a manual conversion.,,,8
SQL Server,Postgres,DML FROM,1,7823,PostgreSQL doesn't support table hints in DML statements,Use PostgreSQL methods of performance tuning.,,,0.1
SQL Server,Postgres,DDL,1,7825,The default value for a DateTime column removed,Please review generated code and modify it if necessary.,,,2
SQL Server,Postgres,CONTROL FLOW,3,7826,Check the default value for a DateTime variable,Check the default value for a DateTime variable.,,,0.3
SQL Server,Postgres,CONTROL FLOW,3,7827,Unable to convert default value,Perform a manual conversion.,,,0.1
SQL Server,Postgres,UPDATE,0,7829,Unable to convert variable assignment by UPDATE statement,Perform a manual conversion.,http://www.postgresql.org/docs/9.6/static/sql-update.html,,8
SQL Server,Postgres,Arithmetic operators,0,7830,Automatic conversion arithmetic operations with operand CASE is not supported,Perform a manual conversion.,,,2
SQL Server,Postgres,DDL,3,7831,"For newid() function you must install extension ""uuid-ossp""",Check the database settings.,,,2
SQL Server,Postgres,TRIGGERS,0,7832,Unable to convert INSTEAD OF triggers on view,Perform a manual conversion.,,,20
SQL Server,Postgres,DDL,0,7835,PostgreSQL does not support the Filetable option,Working with the file system is not supported you need to change the logic of the application.,,,160
SQL Server,Postgres,UPDATE,0,7836,Migration operation .Write for binary data is not supported,Perform a manual conversion.,,,8
SQL Server,Postgres,EXECUTE,3,7837,Converted code might be incorrect because of the dynamic SQL,Please check the dynamic SQL.,http://www.postgresql.org/docs/9.6/static/plpgsql-statements.html,,0.5
SQL Server,Postgres,EXECUTE,3,7838,The EXECUTE with  LOGIN | USER  option is ignored,Use EXECUTE command without this option.,,,0.1
SQL Server,Postgres,EXECUTE,3,7839,Converted code might be incorrect because of the parameter names,Please check the list of parameters.,http://www.postgresql.org/docs/9.6/static/plpgsql-statements.html,,0.5
SQL Server,Postgres,BUILT-IN SERVICES,0,7900,PostgreSQL does not have functionality similar to SQL Server Database Mail,Try using the Amazon Simple Notification Service (SNS).,https://aws.amazon.com/documentation/sns/,,160
SQL Server,Postgres,BUILT-IN SERVICES,0,7901,PostgreSQL does not have functionality similar to SQL Server Service Broker,Try using the Amazon Simple Queue Service (SQS).,https://aws.amazon.com/documentation/sqs/,,160
Oracle,Postgres,INSERT,0,5024,PostgreSQL doesn't support the INSERT statement with partition_extension_clause,Perform a manual conversion for the partition types that aren't supported.,http://www.postgresql.org/docs/9.6/static/sql-insert.html,,8
Oracle,Postgres,Unknown,0,5025,This syntactic element conversion is not supported yet,Perform a manual conversion.,,,160
Oracle,Postgres,PACKAGES,0,5027,Unable to convert object since there is no package body source code provided,Please check if package source code exists at the source and convert it again or perform a manual conversion.,,,0.5
Oracle,Postgres,DATATYPES,1,5028,Unable to convert definition of object with unsupported %s datatype,The stub-code created. Please perform a manual conversion.,,,8
Oracle,Postgres,DATATYPES,1,5029,Unable to convert simple usage of unsupported %s datatype object,The stub-code created. Please perform a manual conversion.,,,8
Oracle,Postgres,DATATYPES,0,5030,Unable to convert complex usage of unsupported %s datatype object,The stub-code created. Please perform a manual conversion.,,,40
Oracle,Postgres,SELECT,0,5031,Unable to convert CURSOR expression,You can create a function that returns RefCursor datatype for the subquery under the expression. Please perform a manual conversion.,https://www.postgresql.org/docs/current/static/plpgsql-cursors.html,,8
Oracle,Postgres,TYPES,0,5032,Unable to convert %s datatype due to its or its member types have an incomplete definition. PostgreSQL doesn't support creation of types based on missed types,Please complete the datatype definition at the source database and try to convert it again.,https://www.postgresql.org/docs/9.6/static/sql-createtype.html,,8
Oracle,Postgres,TYPES,1,5062,The %s type constructor call converted to direct assignment,Please check that all field values assigned correctly.,,,1
Oracle,Postgres,DEFAULT,1,5063,Package variable used as default value,Please make sure that the appropriate package initialization procedure was called before the assignment is performed.,,,1
Oracle,Postgres,UPDATE,1,5064,PostgreSQL doesn't support the UPDATE statement with the ERROR LOG option,You can add error records by inserting them into the log in the exception block. Iterate through the errors in the exception block add them to the log and use the EXIT command when finished.,http://www.postgresql.org/docs/9.6/static/sql-update.html,,4
Oracle,Postgres,UPDATE,0,5065,PostgreSQL doesn't support the UPDATE statement for a subquery,Perform this operation on the underlying tables instead.,http://www.postgresql.org/docs/9.6/static/sql-update.html,,4
Oracle,Postgres,DELETE,1,5067,PostgreSQL doesn't support the DELETE statement with the ERROR LOG option,You can add error records by inserting them into the log in the exception block. Iterate through the errors in the exception block add them to the log and use the EXIT command when finished.,http://www.postgresql.org/docs/9.1/static/sql-delete.html,,0.5
Oracle,Postgres,DELETE,0,5068,PostgreSQL doesn't support the DELETE statement for a subquery,Perform this operation on the underlying tables instead.,http://www.postgresql.org/docs/9.1/static/sql-delete.html,,4
Oracle,Postgres,INSERT,1,5070,PostgreSQL doesn't support the INSERT statement with the ERROR LOG option,You can add error records by inserting them into the log in the exception block. Iterate through the errors in the exception block add them to the log and use the EXIT command when finished.,http://www.postgresql.org/docs/9.6/static/sql-insert.html,,4
Oracle,Postgres,INSERT,0,5071,PostgreSQL doesn't support the INSERT statement for a subquery,Perform this operation on the underlying tables instead.,http://www.postgresql.org/docs/9.6/static/sql-insert.html,,2
Oracle,Postgres,VIEW,3,5075,PostgreSQL doesn't support VIEW with the READ ONLY option,Use VIEW without this option instead.,http://www.postgresql.org/docs/9.6/static/sql-createview.html,,0.1
Oracle,Postgres,VIEW,0,5077,PostgreSQL doesn't support the PIVOT clause for the SELECT statement,You can use a stored procedure to prepare data and then return the data with a VIEW.,http://www.postgresql.org/docs/9.6/static/sql-createview.html,,8
Oracle,Postgres,DYNAMIC SQL,0,5087,PostgreSQL doesn't support the RETURNING BULK COLLECT INTO clause,Perform a manual conversion.,http://www.postgresql.org/message-id/OF97D396FE.EF89C3AC-ON65257E52.001FBC5C-65257E52.00204260@tcs.com,,6
Oracle,Postgres,DYNAMIC SQL,0,5088,PostgreSQL doesn't support the EXECUTE IMMEDIATE statement with BULK COLLECT,Perform a manual conversion.,http://www.postgresql.org/docs/9.1/static/plpgsql-statements.html,,3
Oracle,Postgres,INSERT,0,5090,PostgreSQL doesn't support the INSERT statement for a SUBPARTITION,Either insert data into the overlying partition or perform a manual conversion using the INSERT statement.,http://www.postgresql.org/docs/9.6/static/sql-insert.html,,8
Oracle,Postgres,MATERIALIZED VIEW,1,5093,Unable to convert a query of the materialized view,Change the definition of the source materialized view or migrate it manually.,,,2
Oracle,Postgres,MATERIALIZED VIEW,0,5094,Unable to convert a materialized view,Select another option to migrate materialized views or create tables during data migration with DMS.,http://www.postgresql.org/docs/9.6/static/sql-createview.html,,1
Oracle,Postgres,MATERIALIZED VIEW,0,5095,PostgreSQL doesn't support using a materialized VIEW,Revise your code to replace materialized VIEW with another solution.,http://www.postgresql.org/docs/9.6/static/sql-createview.html,,8
Oracle,Postgres,DELETE,0,5098,PostgreSQL doesn't support the DELETE statement for a PARTITION,Either insert data into the overlying partition or perform a manual conversion using the DELETE statement.,http://www.postgresql.org/docs/9.1/static/sql-delete.html,,8
Oracle,Postgres,CREATE,0,5099,Unable convert object due to %s not created,Please review the %s object.,,,1
Oracle,Postgres,MERGE,0,5102,PostgreSQL doesn't support the MERGE statement,To achieve the effect of a MERGE statement use separate INSERT DELETE and UPDATE statements.,http://www.postgresql.org/docs/9.6/static/geqo.html,,2
Oracle,Postgres,Optimizer Hints,3,5103,PostgreSQL doesn't support the %s hint,Use PostgreSQL methods for performance tuning.,http://www.postgresql.org/docs/9.6/static/geqo.html,,0.1
Oracle,Postgres,Implicit cursor,1,5117,PostgreSQL doesn't support the %s attribute,Migrate references to such an attribute manually.,https://www.postgresql.org/docs/9.6/static/plpgsql-statements.html,,2
Oracle,Postgres,UDT collection-type arguments,0,5118,Unable to convert the %s datatype declaration - PostgreSQL doesn't support associative arrays,Use array or hstore types or temporary tables.,http://www.postgresql.org/docs/9.6/static/arrays.html,,2
Oracle,Postgres,UDT collection-type arguments,1,5120,"PostgreSQL doesn't support constructors of the ""collection"" type","Use the ""array"" type.",http://www.postgresql.org/docs/8.4/static/arrays.html,,4
Oracle,Postgres,UDT collection-type arguments,0,5121,PostgreSQL doesn't support the FORALL statement,Use a FOR LOOP statement.,http://www.postgresql.org/docs/9.1/static/plpgsql-control-structures.html,,8
Oracle,Postgres,SELECT,0,5126,PostgreSQL doesn't support the MODEL statement,Revise your code and try using user procedures and temporary tables.,http://www.postgresql.org/docs/9.6/static/sql-select.html,,160
Oracle,Postgres,SELECT ,1,5139,PostgreSQL doesn't support FOR UPDATE SKIP LOCKED,Try using FOR UPDATE without SKIP LOCKED.,http://www.postgresql.org/docs/9.6/static/sql-select.html,,2
Oracle,Postgres,SELECT ,0,5140,PostgreSQL doesn't support BULK COLLECT INTO,You can try to include all of the fields from your table in an INTO clause.,http://www.postgresql.org/docs/9.6/static/sql-selectinto.html,,2
Oracle,Postgres,SELECT ,1,5144,PostgreSQL doesn't support FOR UPDATE WAIT clauses,Try using FOR UPDATE without WAIT.,http://www.postgresql.org/docs/9.6/static/sql-select.html,,2
Oracle,Postgres,CREATE TABLE,0,5196,PostgreSQL doesn't support OBJECT TABLE,Revise your code to avoid OBJECT TABLE.,http://www.postgresql.org/docs/9.6/static/sql-createtable.html,,4
Oracle,Postgres,CREATE TABLE,3,5198,PostgreSQL doesn't support GLOBAL TEMPORARY TABLE,Try using a local temporary table.,http://www.postgresql.org/docs/9.6/static/sql-createtable.html,,8
Oracle,Postgres,CREATE TABLE,3,5199,PostgreSQL doesn't support CLUSTERED TABLE,Try using a table with triggers.,http://www.postgresql.org/docs/9.6/static/sql-createtable.html,,8
Oracle,Postgres,CREATE TABLE,0,5200,PostgreSQL doesn't support EXTERNAL TABLES,Try using a table.,http://www.postgresql.org/docs/9.6/static/sql-createtable.html,,20
Oracle,Postgres,CREATE TABLE,1,5201,PostgreSQL doesn't support this partition type,Perform a manual conversion for the partition types that aren't supported.,http://www.postgresql.org/docs/9.6/static/sql-createtable.html,,8
Oracle,Postgres,CREATE INDEX,0,5206,PostgreSQL doesn't support bitmap indexes,Revise your code and try to use simple index.,http://www.postgresql.org/docs/9.6/static/sql-createtable.html,,40
Oracle,Postgres,CREATE INDEX,0,5208,PostgreSQL doesn't support domain indexes,Revise your code and try to use simple index.,http://www.postgresql.org/docs/9.6/static/sql-createtable.html,,40
